restaurant_name,location,cuisines,estimated_cost_for_two,rating
Belgian Waffle Factory,Brigade Road,Desserts,400.0,4.9
Belgian Waffle Factory,Koramangala 5th Block,Desserts,400.0,4.9
Milano Ice Cream,Indiranagar,"Ice Cream, Desserts",400.0,4.9
SantÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Spa Cuisine,Indiranagar,"Healthy Food, Salad, Mediterranean",1000.0,4.9
Flechazo,Whitefield,"Asian, Mediterranean, North Indian, BBQ",1400.0,4.9
Asia Kitchen By Mainland China,Koramangala 5th Block,"Asian, Chinese, Thai, Momos",1500.0,4.9
Byg Brewski Brewing Company,Sarjapur Road,"Continental, North Indian, Italian, South Indian, Finger Food",1600.0,4.9
AB's - Absolute Barbecues,BTM,"European, Mediterranean, North Indian, BBQ",1600.0,4.9
Punjab Grill,Whitefield,North Indian,2000.0,4.9
Punjab Grill,Malleshwaram,"North Indian, Mughlai",2000.0,4.9
Brahmin's Coffee Bar,Basavanagudi,South Indian,100.0,4.8
CTR,Malleshwaram,South Indian,150.0,4.8
O.G. Variar & Sons,Rajajinagar,"Bakery, Desserts",200.0,4.8
Belgian Waffle Factory,Vasanth Nagar,Desserts,400.0,4.8
Belgian Waffle Factory,Kalyan Nagar,Desserts,400.0,4.8## Error Type
Runtime TypeError

## Error Message
options.filter is not a function


    at LocationDropdown (file://C:/Users/Anchit.Boruah/OneDrive - insidemedia.net/Desktop/Vibe Coding_M1/frontend/.next/dev/static/chunks/src_0-lw3ez._.js:97:37)
    at Object.react_stack_bottom_frame (file://C:/Users/Anchit.Boruah/OneDrive - insidemedia.net/Desktop/Vibe Coding_M1/frontend/.next/dev/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js:15037:24)
    at renderWithHooks (file://C:/Users/Anchit.Boruah/OneDrive - insidemedia.net/Desktop/Vibe Coding_M1/frontend/.next/dev/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js:4620:24)
    at updateFunctionComponent (file://C:/Users/Anchit.Boruah/OneDrive - insidemedia.net/Desktop/Vibe Coding_M1/frontend/.next/dev/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js:6081:21)
    at beginWork (file://C:/Users/Anchit.Boruah/OneDrive - insidemedia.net/Desktop/Vibe Coding_M1/frontend/.next/dev/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js:6691:24)
    at runWithFiberInDEV (file://C:/Users/Anchit.Boruah/OneDrive - insidemedia.net/Desktop/Vibe Coding_M1/frontend/.next/dev/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js:965:74)
    at performUnitOfWork (file://C:/Users/Anchit.Boruah/OneDrive - insidemedia.net/Desktop/Vibe Coding_M1/frontend/.next/dev/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js:9555:97)
    at workLoopSync (file://C:/Users/Anchit.Boruah/OneDrive - insidemedia.net/Desktop/Vibe Coding_M1/frontend/.next/dev/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js:9449:40)
    at renderRootSync (file://C:/Users/Anchit.Boruah/OneDrive - insidemedia.net/Desktop/Vibe Coding_M1/frontend/.next/dev/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js:9433:13)
    at performWorkOnRoot (file://C:/Users/Anchit.Boruah/OneDrive - insidemedia.net/Desktop/Vibe Coding_M1/frontend/.next/dev/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js:9098:47)
    at performWorkOnRootViaSchedulerTask (file://C:/Users/Anchit.Boruah/OneDrive - insidemedia.net/Desktop/Vibe Coding_M1/frontend/.next/dev/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js:10255:9)
    at MessagePort.performWorkUntilDeadline (file://C:/Users/Anchit.Boruah/OneDrive - insidemedia.net/Desktop/Vibe Coding_M1/frontend/.next/dev/static/chunks/node_modules_next_dist_compiled_0rpq4pf._.js:2647:64)
    at SearchForm (file://C:/Users/Anchit.Boruah/OneDrive - insidemedia.net/Desktop/Vibe Coding_M1/frontend/.next/dev/static/chunks/src_0-lw3ez._.js:263:219)
    at Home (file://C:/Users/Anchit.Boruah/OneDrive - insidemedia.net/Desktop/Vibe Coding_M1/frontend/.next/dev/static/chunks/src_0-lw3ez._.js:1127:231)
    at ClientPageRoot (file://C:/Users/Anchit.Boruah/OneDrive - insidemedia.net/Desktop/Vibe Coding_M1/frontend/.next/dev/static/chunks/node_modules_next_dist_0tt2wve._.js:4461:50)

Next.js version: 16.2.4 (Turbopack)

House Of Commons,Koramangala 5th Block,"Continental, Asian, North Indian",1000.0,4.8
The Pizza Bakery,Indiranagar,"Italian, Pizza, Beverages",1200.0,4.8
The Globe Grub,Marathahalli,"Continental, North Indian, Asian, Italian",1300.0,4.8
Barbecue by Punjab Grill,Malleshwaram,BBQ,1300.0,4.8
Chili's American Grill & Bar,Malleshwaram,"American, Tex-Mex, Burger, BBQ, Mexican",1400.0,4.8
The Black Pearl,Marathahalli,"North Indian, European, Mediterranean, BBQ",1500.0,4.8
AB's - Absolute Barbecues,Whitefield,"European, Mediterranean, North Indian, BBQ",1600.0,4.8
Barbeque Nation,JP Nagar,"North Indian, European, Mediterranean, BBQ, Kebab",1600.0,4.8
AB's - Absolute Barbecues,Marathahalli,"European, Mediterranean, North Indian, BBQ",1600.0,4.8
The Boozy Griffin,Marathahalli,"European, Continental",1800.0,4.8
Biergarten,Koramangala 5th Block,"Continental, North Indian, Chinese, European, BBQ, Finger Food, Asian",2100.0,4.8
Taaza Thindi,Banashankari,South Indian,100.0,4.7
Kurtoskalacs,Koramangala 5th Block,"Desserts, Fast Food",350.0,4.7
Corner House Ice Cream,Indiranagar,"Ice Cream, Desserts",400.0,4.7
Lot Like Crepes,Koramangala 7th Block,"Cafe, Desserts, Continental",550.0,4.7
ECHOES Koramangala,Koramangala 5th Block,"Chinese, American, Continental, Italian, North Indian",750.0,4.7
Truffles,Koramangala 5th Block,"Cafe, American, Burger, Steak",900.0,4.7
Truffles,New BEL Road,"Cafe, American, Burger, Steak",900.0,4.7
TBC Sky Lounge,HSR,"Continental, Asian, Italian, North Indian",1000.0,4.7
House Of Commons,HSR,"Continental, Asian, North Indian",1000.0,4.7
Vanilla Sky,HSR,"Chinese, Continental, North Indian, Finger Food",1200.0,4.7
Hammered,Cunningham Road,"North Indian, Thai, Japanese, Continental, Cafe",1300.0,4.7
Brew and Barbeque - A Microbrewery Pub,Marathahalli,"Continental, North Indian, BBQ, Steak",1400.0,4.7
The Black Pearl,Koramangala 5th Block,"North Indian, European, Mediterranean",1400.0,4.7
AB's - Absolute Barbecues,Kalyan Nagar,"European, Mediterranean, North Indian, BBQ",1400.0,4.7
Flechazo,Marathahalli,"Asian, Mediterranean, North Indian, BBQ",1400.0,4.7
Opus Food Stories,Sarjapur Road,"Goan, Asian, North Indian, European, Continental",1500.0,4.7
Communiti,Residency Road,"Continental, BBQ, Salad",1500.0,4.7
Chianti,Koramangala 5th Block,Italian,1500.0,4.7
The Big Barbeque,Electronic City,"BBQ, North Indian, Continental, Chinese",1500.0,4.7
Burma Burma,Indiranagar,"Asian, Burmese",1500.0,4.7
Toit,Indiranagar,"Italian, American, Pizza",1500.0,4.7
Chianti,Indiranagar,Italian,1500.0,4.7
Maziga,Whitefield,Modern Indian,1500.0,4.7
AB's - Absolute Barbecues,Sarjapur Road,"European, Mediterranean, North Indian, BBQ",1600.0,4.7
Barbeque Nation,Koramangala 1st Block,"North Indian, European, Mediterranean, BBQ, Kebab",1600.0,4.7
Barbeque Nation,Indiranagar,"North Indian, European, Mediterranean, BBQ, Kebab",1600.0,4.7
Mainland China,Whitefield,"Chinese, Momos",1700.0,4.7
Mainland China,Whitefield,Chinese,1700.0,4.7
Big Pitcher,Old Airport Road,"American, Continental, North Indian, Mediterranean",1800.0,4.7
You Mee,Whitefield,"Sushi, Japanese, Chinese, Thai",2000.0,4.7
Biergarten,Whitefield,"Continental, European, BBQ, Chinese, Asian",2400.0,4.7
Natural Ice Cream,Indiranagar,"Ice Cream, Desserts",150.0,4.6
Apsara Ice Cream,Indiranagar,"Ice Cream, Desserts",200.0,4.6
Natural Ice Cream,Indiranagar,"Ice Cream, Beverages",200.0,4.6
The Pancake Story,Koramangala 1st Block,"Desserts, Beverages",300.0,4.6
Mugful Of Stories,Kalyan Nagar,"Desserts, Bakery",300.0,4.6
The Blue Wagon - Kitchen,Jayanagar,"Cafe, Beverages",400.0,4.6
Dock Frost'd,Marathahalli,"Beverages, Desserts",400.0,4.6
Corner House Ice Cream,Koramangala 5th Block,"Ice Cream, Desserts",400.0,4.6
XO Belgian Waffle,Koramangala 5th Block,"Desserts, Beverages",400.0,4.6
BelgYum,Whitefield,Desserts,400.0,4.6
eat.fit,Koramangala 5th Block,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500.0,4.6
eat.fit,BTM,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500.0,4.6
Lot Like Crepes,Koramangala 7th Block,"Desserts, Continental",550.0,4.6
Onesta,Banashankari,"Pizza, Cafe, Italian",600.0,4.6
Onesta,Basavanagudi,"Pizza, Cafe, Italian",600.0,4.6
Onesta,Marathahalli,"Pizza, Cafe, Italian",600.0,4.6
The Hole in the Wall Cafe,Koramangala 4th Block,"Cafe, American, Burger",600.0,4.6
Here & Now,HSR,"Cafe, American, Burger, Beverages",750.0,4.6
Zamindar,Kalyan Nagar,"Biryani, Mughlai, Andhra",800.0,4.6
Baar Union,HSR,"Continental, Finger Food, Asian, Chinese",850.0,4.6
Truffles,Indiranagar,"Cafe, American, Burger, Steak",900.0,4.6
Smoor,Indiranagar,"Desserts, Cafe, Beverages",900.0,4.6
Galito's,Bannerghatta Road,"African, Burger",1000.0,4.6
Galito's,Whitefield,"African, Burger",1000.0,4.6
Sea Rock,Seshadripuram,"Mangalorean, Seafood, South Indian, North Indian, Chinese, Mughlai",1000.0,4.6
Galito's,Whitefield,"African, Burger, Desserts, Beverages, Fast Food",1000.0,4.6
Brik Oven,Church Street,"Cafe, Pizza, Beverages",1100.0,4.6
Sea Lions BBQ & Grills,Jayanagar,"North Indian, Chinese, Mughlai, Mexican, BBQ",1100.0,4.6
Stories,Rajajinagar,"Continental, North Indian, Chinese",1100.0,4.6
Mahjong Room - WelcomHotel Bengaluru,Richmond Road,Chinese,1200.0,4.6
The Fatty Bao - Asian Gastro Bar,Indiranagar,"Asian, Thai, Vietnamese, Malaysian, Beverages",1200.0,4.6
Roots,Koramangala 1st Block,"North Indian, South Indian, Chinese, Continental, Mangalorean",1200.0,4.6
The Fatty Bao - Asian Gastro Bar,Indiranagar,"Japanese, Sushi, Asian",1200.0,4.6
Hunger Camp,JP Nagar,"North Indian, South Indian, Chinese, Seafood",1300.0,4.6
The Reservoire,Koramangala 5th Block,"Continental, North Indian, Chinese, American",1300.0,4.6
Vapour Brewpub and Diner,Sarjapur Road,"North Indian, Continental, Italian",1400.0,4.6
The Terrace at Gilly's Redefined,Koramangala 4th Block,"Continental, Finger Food, Asian, North Indian",1400.0,4.6
Tipsy Bull - The Bar Exchange,Indiranagar,"Chinese, Continental, North Indian, Mexican",1400.0,4.6
Chili's American Grill & Bar,Whitefield,"American, Tex-Mex, Burger, BBQ, Mexican",1400.0,4.6
Sarjapur Social,Sarjapur Road,"American, North Indian, Chinese, Finger Food",1500.0,4.6
Toast & Tonic,Richmond Road,"European, Asian",1500.0,4.6
Koramangala Social,Koramangala 7th Block,"American, North Indian, Chinese, Finger Food",1500.0,4.6
1131 Bar + Kitchen,Indiranagar,"Continental, Asian, Italian, North Indian",1500.0,4.6
Via Milano,Sarjapur Road,"Salad, Italian, Desserts, Pizza",1500.0,4.6
Chianti,"ITPL Main Road, Whitefield",Italian,1500.0,4.6
Smoke House Deli,Lavelle Road,"European, Italian, Desserts, Salad, Juices, Steak",1600.0,4.6
Smoke House Deli,Indiranagar,"European, Italian, Desserts, Salad, Juices, Steak",1600.0,4.6
Fenny's Lounge And Kitchen,Koramangala 7th Block,"Mediterranean, Pizza, Continental, Seafood, Salad",1600.0,4.6
MISU,St. Marks Road,"Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean",1700.0,4.6
Oota Bangalore,Whitefield,South Indian,1700.0,4.6
The Boozy Griffin,Koramangala 5th Block,"European, Continental",1800.0,4.6
Olive Bar And Kitchen,Richmond Road,"Mediterranean, European, Salad",1800.0,4.6
Chili's American Grill & Bar,Bellandur,"American, Tex-Mex, Burger, BBQ",1800.0,4.6
Caperberry,Lavelle Road,"Spanish, Italian, Mediterranean, European, Salad",2200.0,4.6
Windmills Craftworks,Whitefield,"American, North Indian, Salad",2500.0,4.6
Yauatcha,MG Road,"Chinese, Asian, Cantonese, Tea",2800.0,4.6
Rim Naam - The Oberoi,MG Road,Thai,3000.0,4.6
Chikkanna Tiffin Room,City Market,South Indian,150.0,4.5
Bengaluru Cafe,Jayanagar,South Indian,150.0,4.5
Veena Stores,Malleshwaram,South Indian,150.0,4.5
Apsara Ice Cream,HSR,"Ice Cream, Desserts",200.0,4.5
Natural Ice Cream,Koramangala 1st Block,"Ice Cream, Beverages",200.0,4.5
Chai Days,Indiranagar,"Cafe, Tea, Beverages, Fast Food",200.0,4.5
Mavalli Tiffin Room (MTR),Basavanagudi,South Indian,250.0,4.5
Siddiqu Kabab Center,Richmond Road,"North Indian, Rolls",250.0,4.5
Karma Kaapi,Jayanagar,"Beverages, Tea",250.0,4.5
Rolls & Bowls,Brookefield,"Rolls, Chinese",250.0,4.5
Shakes Theory,Jayanagar,"Beverages, Sandwich",300.0,4.5
Polar Bear,"Varthur Main Road, Whitefield","Desserts, Ice Cream",300.0,4.5
HOMMS,Marathahalli,"Chinese, Beverages, Momos, Thai",300.0,4.5
99 Pancakes,Koramangala 5th Block,"Desserts, Beverages, Cafe, Ice Cream",300.0,4.5
99 Pancakes,Koramangala 5th Block,"Desserts, Cafe",300.0,4.5
HVR Veg,Seshadripuram,South Indian,300.0,4.5
BITEBOX,Marathahalli,"North Indian, Chinese, Mughlai, Desserts",300.0,4.5
HOMMS,Marathahalli,"Momos, Chinese, Fast Food",300.0,4.5
Mooch Marod,Whitefield,North Indian,350.0,4.5
XO Belgian Waffle,BTM,"Desserts, Beverages",400.0,4.5
Milano Ice Cream,Jayanagar,"Ice Cream, Desserts",400.0,4.5
XO Belgian Waffle,HSR,"Desserts, Beverages",400.0,4.5
Corner House Ice Cream,Lavelle Road,"Ice Cream, Desserts",400.0,4.5
Corner House Ice Cream,Marathahalli,"Ice Cream, Desserts",400.0,4.5
Corner House Ice Cream,HSR,"Ice Cream, Desserts",400.0,4.5
Corner House Ice Cream,Jayanagar,"Ice Cream, Desserts",400.0,4.5
Corner House Ice Cream,Koramangala 7th Block,"Ice Cream, Desserts",400.0,4.5
Corner House Ice Cream,New BEL Road,"Ice Cream, Desserts",400.0,4.5
Corner House Ice Cream,Whitefield,"Ice Cream, Desserts",400.0,4.5
XO Belgian Waffle,Brigade Road,"Desserts, Beverages",450.0,4.5
Stoner,Koramangala 5th Block,"Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500.0,4.5
eat.fit,BTM,"Healthy Food, North Indian, Biryani, Continental, Desserts",500.0,4.5
eat.fit,Indiranagar,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500.0,4.5
eat.fit,Bellandur,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500.0,4.5
IceBreakers,Koramangala 6th Block,"Desserts, Ice Cream",500.0,4.5
eat.fit,Rajajinagar,"Healthy Food, North Indian, Biryani, Continental, Desserts",500.0,4.5
eat.fit,Indiranagar,"Healthy Food, North Indian, Biryani, Continental, Desserts",500.0,4.5
Stoner,Indiranagar,"Ice Cream, Cafe, Beverages, Burger, Desserts, Pizza",550.0,4.5
Meghana Foods,Jayanagar,"Biryani, Andhra, North Indian, Seafood",600.0,4.5
Sixth Avenue Cafe And Patisserie,Koramangala 5th Block,"Cafe, Italian, Desserts",600.0,4.5
Onesta,Electronic City,"Pizza, Cafe, Italian",600.0,4.5
Monet's Bistro,Indiranagar,"Cafe, Beverages",600.0,4.5
Meghana Foods,Jayanagar,"Biryani, North Indian, Chinese",600.0,4.5
Avista Cafe Pizzeria,Hennur,"Cafe, Italian",650.0,4.5
Suryawanshi,Sarjapur Road,"Maharashtrian, Seafood",700.0,4.5
Pin Me Down,BTM,"Continental, Mexican, Chinese, North Indian",800.0,4.5
Dyu Art Cafe,Koramangala 5th Block,"Cafe, Italian, Fast Food",800.0,4.5
Pot-O-Noodles,Indiranagar,"Chinese, Asian, Japanese",800.0,4.5
Imperio Restaurant,Kalyan Nagar,"North Indian, Mughlai, Biryani, South Indian, Beverages",800.0,4.5
Wild Thyme Restaurant,Koramangala 5th Block,"Chinese, Continental, North Indian, Italian, Seafood",800.0,4.5
Nuts Over Salads Cafe,Koramangala 5th Block,"Cafe, Salad",800.0,4.5
Mudpipe Cafe,BTM,"Cafe, Continental, Burger",900.0,4.5
Truffles,St. Marks Road,"Cafe, American, Burger, Steak",900.0,4.5
Bloomsbury's Global Kitchen & Bakehouse,Whitefield,"American, Cafe, Continental, French, Burger, Mexican, Desserts, Pizza",900.0,4.5
Market Table,Koramangala 5th Block,"Cafe, Continental, Mediterranean, Beverages",900.0,4.5
Truffles,Kalyan Nagar,"Cafe, American, Burger, Steak",900.0,4.5
Nakkshatra,Marathahalli,"North Indian, Chinese",900.0,4.5
Gilly's Restobar,Koramangala 5th Block,"Finger Food, Continental, North Indian",1000.0,4.5
Bologna,Indiranagar,Italian,1000.0,4.5
The Old Fashioned Bar,Koramangala 6th Block,"Finger Food, North Indian, Continental",1000.0,4.5
The Asian Curry House,Malleshwaram,"Vietnamese, Thai, Burmese, Japanese",1000.0,4.5
Output Bengaluru,Marathahalli,"North Indian, Continental",1000.0,4.5
Bombay Adda,Koramangala 7th Block,Modern Indian,1100.0,4.5
Mainland China,Kalyan Nagar,"Chinese, Momos",1100.0,4.5
Mainland China,Kalyan Nagar,Chinese,1100.0,4.5
Hae Kum Gang,Brigade Road,"Korean, Chinese, Japanese",1100.0,4.5
"3B's - Buddies, Bar & Barbecues",Marathahalli,"North Indian, Mediterranean, European, BBQ",1100.0,4.5
Hakuna Matata,JP Nagar,"North Indian, Asian, Seafood, Chinese",1200.0,4.5
Bonum cibum,HSR,"Lebanese, Turkish",1200.0,4.5
Once Upon A Flame,HSR,"Steak, Continental, Burger, BBQ",1200.0,4.5
Chinita Real Mexican Food,Koramangala 5th Block,Mexican,1200.0,4.5
Delhi Highway,Indiranagar,North Indian,1200.0,4.5
OKI,Kammanahalli,"Asian, European, Italian, Korean, Malaysian, Thai, Vietnamese, Chinese",1200.0,4.5
The Himalayan,Koramangala 5th Block,Korean,1200.0,4.5
Myu Bar at Gilly's Redefined,Koramangala 4th Block,"American, North Indian, Pizza, Finger Food, Continental, Italian",1200.0,4.5
Oh! Calcutta,Church Street,"Bengali, Seafood",1200.0,4.5
"Lush - Renaissance Hotel, Bengaluru",Race Course Road,"North Indian, Continental",1200.0,4.5
Gilly's Restobar,New BEL Road,"Continental, Finger Food, North Indian, Chinese",1200.0,4.5
Hammered,New BEL Road,"North Indian, Continental, Cafe",1200.0,4.5
Haute,Indiranagar,"Continental, European, Asian, Seafood, Spanish",1200.0,4.5
Fabelle Chocolate Boutique - ITC Gardenia,Richmond Road,"Desserts, Ice Cream, Beverages",1250.0,4.5
Jalsa Gold,Marathahalli,"North Indian, Mughlai, Italian",1300.0,4.5
Pasta Street,Cunningham Road,"Italian, Pizza, Salad",1300.0,4.5
Sidewalk - The Garden Bar,Marathahalli,"North Indian, Continental, Chinese, Thai",1300.0,4.5
Sultans of Spice,Koramangala 5th Block,"North Indian, Mughlai, Salad",1300.0,4.5
Pasta Street,Koramangala 4th Block,"Italian, Pizza, Salad",1300.0,4.5
The Reservoire,Koramangala 5th Block,"Continental, North Indian, Chinese, American, Pizza, Finger Food",1300.0,4.5
Pasta Street,Indiranagar,"Italian, Pizza, Salad",1300.0,4.5
One For The Road,Nagawara,"Continental, North Indian, Finger Food",1300.0,4.5
The London Curry House - The Royale Senate Hotel,Race Course Road,"Pizza, North Indian, Modern Indian",1300.0,4.5
Soda Bottle Opener Wala,Lavelle Road,"Parsi, North Indian",1300.0,4.5
Big Wong XL,Koramangala 5th Block,"Chinese, Sushi, Asian, Thai",1400.0,4.5
Simon Says Brew Works,Koramangala 5th Block,"Continental, American, Italian, Modern Indian, Pizza, Burger",1400.0,4.5
The Permit Room,Brigade Road,South Indian,1500.0,4.5
Chianti,MG Road,Italian,1500.0,4.5
Buff Buffet Buff,Koramangala 5th Block,"North Indian, Chinese, Continental, Thai, Salad",1500.0,4.5
Toscano,Koramangala 7th Block,"Italian, Salad",1500.0,4.5
Chianti,Bannerghatta Road,Italian,1500.0,4.5
Levitate Brewery and Kitchen,JP Nagar,"Finger Food, North Indian, Continental",1500.0,4.5
ShakesBierre,Brigade Road,"Asian, Continental, European, North Indian",1500.0,4.5
Brooks and Bonds Brewery,Koramangala 5th Block,"Continental, Mediterranean, North Indian, Chinese, Finger Food",1600.0,4.5
Barbeque Nation,Rajajinagar,"North Indian, European, Mediterranean, BBQ, Kebab",1600.0,4.5
The Pallet,Whitefield,"Continental, Mediterranean, Italian, North Indian, Finger Food, Asian, Momos",1600.0,4.5
Mainland China,Church Street,"Chinese, Momos",1700.0,4.5
Mainland China,Church Street,Chinese,1700.0,4.5
Mainland China,Malleshwaram,Chinese,1700.0,4.5
Republic Of Noodles - Lemon Tree Premier,Ulsoor,"Malaysian, Singaporean, Thai",1800.0,4.5
Prost Brew Pub,Koramangala 4th Block,"American, Continental, North Indian, Salad",1800.0,4.5
ASEAN - On The Edge,MG Road,"Asian, Thai",1800.0,4.5
OPUS Club,Sarjapur Road,"Continental, Italian, North Indian, Mexican",1900.0,4.5
Arbor Brewing Company,Brigade Road,"American, Continental, Salad",2000.0,4.5
Brewklyn Microbrewery,Kalyan Nagar,"American, Continental, Pizza",2000.0,4.5
Arbor Brewing Company,Brigade Road,"American, Continental",2000.0,4.5
Hard Rock Cafe,St. Marks Road,"American, BBQ",2500.0,4.5
Saffron - Radisson Blu,Marathahalli,"North Indian, Mughlai, Lucknowi",2500.0,4.5
Sly Granny - The Community House,Indiranagar,"Modern Indian, European, American",2500.0,4.5
Feast - Sheraton Grand Bengaluru Whitefield Hotel &...,Whitefield,"Continental, Asian, South Indian, North Indian",2500.0,4.5
Melange - Radisson Blu,Marathahalli,"North Indian, Continental, Chinese, South Indian",2700.0,4.5
Karavalli - The Gateway Hotel,Residency Road,"Mangalorean, Konkan, Seafood, Kerala",3500.0,4.5
Alba - JW Marriott Bengaluru,Lavelle Road,Italian,4000.0,4.5
Sri Laxmi Venkateshwara Coffee Bar,Banashankari,South Indian,100.0,4.4
Malleshwaram Dosa Corner,Malleshwaram,South Indian,120.0,4.4
Poonam Sweets,Banashankari,Mithai,150.0,4.4
Vidyarthi Bhavan,Basavanagudi,South Indian,150.0,4.4
Natural Ice Cream,Jayanagar,"Ice Cream, Desserts",150.0,4.4
Raghavendra Tiffin,HSR,South Indian,150.0,4.4
Hari Super Sandwich,Jayanagar,"Fast Food, Street Food",200.0,4.4
Natural Ice Cream,Jayanagar,"Ice Cream, Beverages",200.0,4.4
Siddiqu Kabab Center,Richmond Road,"Kebab, Rolls",250.0,4.4
GMT - Gelateria Montecatini Terme,Lavelle Road,"Desserts, Ice Cream",300.0,4.4
BITEBOX,Marathahalli,"North Indian, Chinese, Fast Food, Beverages, Desserts",300.0,4.4
Gods Own Cafe,Koramangala 7th Block,"South Indian, Kerala, Seafood",300.0,4.4
Choco Cheese,BTM,"Desserts, Beverages",300.0,4.4
Al Amanah Cafe,Kammanahalli,"Middle Eastern, Fast Food, Rolls",300.0,4.4
GMT - Gelateria Montecatini Terme,Indiranagar,"Desserts, Ice Cream",300.0,4.4
Jose's Mess,BTM,"Kerala, South Indian, Biryani",300.0,4.4
Black Deer,Koramangala 5th Block,"Beverages, Desserts",350.0,4.4
Drunken Monkey,Bannerghatta Road,"Beverages, Fast Food",400.0,4.4
Bubblewrap Waffle Co.,Jayanagar,"Desserts, Beverages",400.0,4.4
nu.tree,Sarjapur Road,"North Indian, Healthy Food, Beverages",400.0,4.4
Corner House Ice Cream,Residency Road,"Ice Cream, Desserts",400.0,4.4
Art of Delight,Residency Road,"Ice Cream, Desserts, Beverages",400.0,4.4
Mumbai Tiffin,HSR,North Indian,400.0,4.4
Aligarh House,Koramangala,"North Indian, Biryani, Awadhi, Mughlai",400.0,4.4
Aligarh House,HSR,"North Indian, Biryani, Awadhi, Mughlai",400.0,4.4
Corner House Ice Cream,Kalyan Nagar,"Ice Cream, Desserts",400.0,4.4
Corner House Ice Cream,Banaswadi,"Ice Cream, Desserts",400.0,4.4
Corner House Ice Cream,Seshadripuram,"Ice Cream, Desserts",400.0,4.4
XO Belgian Waffle,Indiranagar,"Desserts, Beverages",400.0,4.4
Le Casse CroÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ»te,Thippasandra,"French, Sandwich, Salad",450.0,4.4
Chai Galli,Koramangala 5th Block,"Cafe, Tea, Street Food",450.0,4.4
Waffle Walle,Bannerghatta Road,"Desserts, Belgian, Beverages",500.0,4.4
eat.fit,Whitefield,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500.0,4.4
Zee5 Loft,Koramangala 6th Block,"Cafe, North Indian, Pizza, Sandwich, Salad",500.0,4.4
PurpleBasil.in,Indiranagar,"Healthy Food, Desserts",500.0,4.4
eat.fit,Nagawara,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500.0,4.4
BOX8- Desi Meals,Koramangala 5th Block,"North Indian, Mughlai, Fast Food",500.0,4.4
eat.fit,Whitefield,"Healthy Food, North Indian, Biryani, Continental, Desserts",500.0,4.4
BOX8- Desi Meals,New BEL Road,"North Indian, Mughlai, Fast Food",500.0,4.4
eat.fit,Bellandur,"Healthy Food, North Indian, Biryani, Continental, Desserts",500.0,4.4
Stoner,Indiranagar,"Ice Cream, Pizza, Beverages",550.0,4.4
Onesta,JP Nagar,"Pizza, Cafe, Italian",600.0,4.4
Shake It Off,Jayanagar,"Beverages, Fast Food",600.0,4.4
Onesta,HSR,"Pizza, Cafe, Italian",600.0,4.4
Le Gateau - The Cake Shop,Old Airport Road,"Desserts, Bakery",600.0,4.4
Glen's Bakehouse,Lavelle Road,"Bakery, Cafe, Italian, Desserts",600.0,4.4
Matteo Coffea,Church Street,Cafe,600.0,4.4
A Hole Lotta Love Cafe,Koramangala 5th Block,"Cafe, American, Burger, Sandwich, Beverages",600.0,4.4
Meghana Foods,Koramangala 5th Block,"Biryani, Seafood, Andhra, North Indian",600.0,4.4
Onesta,Koramangala 4th Block,"Pizza, Cafe, Italian",600.0,4.4
The Biryani Story,BTM,"Biryani, North Indian, Chinese, Mughlai",600.0,4.4
Dhyaana,Indiranagar,"Cafe, Healthy Food, Momos",600.0,4.4
Zamindar,Kalyan Nagar,"Biryani, Chinese, Mughlai, Andhra",600.0,4.4
Onesta,Kammanahalli,"Pizza, Cafe, Italian",600.0,4.4
Mojo Pizza - 2X Toppings,Koramangala 6th Block,Pizza,600.0,4.4
Meghana Foods,Koramangala 5th Block,"Biryani, Andhra, North Indian, Seafood",600.0,4.4
Onesta,New BEL Road,"Pizza, Cafe, Italian",600.0,4.4
Onesta,Brookefield,"Pizza, Cafe, Italian",600.0,4.4
Onesta,Whitefield,"Pizza, Cafe, Italian",600.0,4.4
The Bundle Co.,MG Road,"Burger, Continental, Italian, Beverages",700.0,4.4
